id,student_skills,student_fields_of_study,project_prefered_skills,project_prefered_fields_of_study,match_persentage
325,"['C#', 'Data Analysis', 'Java', 'Kubernetes', 'Docker']",Physics,"['SQL', 'Python', 'AWS', 'Docker', 'C#', 'HTML']","['Electrical Engineering', 'Computer Science', 'Mathematics']",23.33
326,"['AWS', 'C#', 'HTML', 'TensorFlow']",Data Science,"['Python', 'AWS', 'React', 'Kubernetes', 'SQL']",['Electrical Engineering'],14.0
327,"['Machine Learning', 'C#']",Physics,"['Machine Learning', 'SQL', 'TensorFlow', 'C#']","['Data Science', 'Electrical Engineering']",35.0
328,"['Spring Boot', 'Data Analysis']",Software Engineering,"['HTML', 'Java', 'Kubernetes', 'AWS', 'TensorFlow']","['Physics', 'Software Engineering']",30.0
329,"['Python', 'HTML', 'Kubernetes']",Electrical Engineering,"['Python', 'TensorFlow', 'React', 'AWS']","['Data Science', 'Software Engineering']",17.5
330,"['Java', 'Data Analysis']",Electrical Engineering,"['TensorFlow', 'HTML', 'SQL']","['Data Science', 'AI/ML']",0.0
331,"['CSS', 'Python', 'C#', 'Kubernetes', 'Java']",AI/ML,"['TensorFlow', 'AWS', 'Kubernetes', 'Spring Boot', 'HTML']",['Physics'],14.0
332,"['HTML', 'TensorFlow', 'React']",Computer Science,"['CSS', 'Python', 'TensorFlow']","['Mechanical Engineering', 'Electrical Engineering']",23.33
333,"['AWS', 'SQL', 'Java', 'Docker', 'Machine Learning']",Electrical Engineering,"['Machine Learning', 'HTML', 'Data Analysis', 'Spring Boot', 'C#', 'AWS']","['Data Science', 'Software Engineering']",23.33
334,"['Docker', 'React', 'HTML', 'Python']",Mechanical Engineering,"['Docker', 'React', 'SQL']","['Computer Science', 'Mechanical Engineering']",76.67
335,"['SQL', 'Docker', 'HTML', 'Kubernetes']",Mathematics,"['Docker', 'Python', 'Spring Boot', 'CSS', 'Data Analysis', 'Java']",['Electrical Engineering'],11.67
336,"['C#', 'Spring Boot', 'CSS', 'Python', 'React']",Mechanical Engineering,"['Spring Boot', 'Data Analysis', 'AWS', 'CSS', 'Python']","['Mechanical Engineering', 'Software Engineering']",72.0
337,"['React', 'CSS', 'TensorFlow', 'Spring Boot', 'C#']",Electrical Engineering,"['CSS', 'Kubernetes', 'Java', 'TensorFlow']","['Data Science', 'Electrical Engineering', 'Mechanical Engineering']",65.0
338,"['Kubernetes', 'Data Analysis']",Software Engineering,"['Machine Learning', 'TensorFlow', 'Kubernetes']","['Data Science', 'Mechanical Engineering', 'Software Engineering']",53.33
339,"['Data Analysis', 'HTML', 'C#', 'Python', 'Spring Boot']",Software Engineering,"['Docker', 'SQL', 'CSS', 'HTML', 'Python', 'React']","['Electrical Engineering', 'Data Science', 'AI/ML']",23.33
340,"['Spring Boot', 'TensorFlow', 'Machine Learning', 'SQL']",Computer Science,"['AWS', 'Kubernetes', 'HTML', 'C#', 'Docker']","['Mechanical Engineering', 'AI/ML']",0.0
341,"['Python', 'Java']",Data Science,"['C#', 'Java', 'Python', 'HTML']","['Computer Science', 'Mathematics', 'Mechanical Engineering']",35.0
342,"['SQL', 'C#', 'Java', 'HTML', 'AWS']",Physics,"['HTML', 'AWS', 'React']","['Software Engineering', 'AI/ML', 'Data Science']",46.67
343,"['Java', 'Data Analysis', 'Spring Boot']",Data Science,"['Python', 'AWS', 'Java', 'React', 'TensorFlow', 'Machine Learning']",['Mechanical Engineering'],11.67
344,"['HTML', 'Docker', 'Machine Learning']",Electrical Engineering,"['React', 'Data Analysis', 'Docker', 'Java', 'HTML', 'Python']",['Data Science'],23.33
345,"['Machine Learning', 'React', 'AWS']",Software Engineering,"['Spring Boot', 'Java', 'SQL']","['Electrical Engineering', 'Software Engineering']",30.0
346,"['HTML', 'Machine Learning', 'Kubernetes', 'Docker', 'Spring Boot']",Software Engineering,"['C#', 'HTML', 'Java', 'Spring Boot', 'TensorFlow', 'AWS']",['Electrical Engineering'],23.33
347,"['Python', 'CSS', 'SQL', 'Machine Learning']",Computer Science,"['C#', 'Machine Learning', 'React', 'Python']",['Physics'],35.0
348,"['C#', 'React']",Electrical Engineering,"['Kubernetes', 'React', 'TensorFlow', 'AWS', 'SQL', 'HTML']","['AI/ML', 'Mathematics']",11.67
349,"['TensorFlow', 'Machine Learning', 'HTML', 'Java']",AI/ML,"['Kubernetes', 'React', 'Java']",['Computer Science'],23.33
350,"['Spring Boot', 'C#']",Software Engineering,"['Docker', 'Machine Learning', 'CSS', 'SQL']",['Mathematics'],0.0
351,"['Python', 'AWS', 'Machine Learning', 'C#', 'SQL']",Electrical Engineering,"['TensorFlow', 'React', 'Data Analysis']",['Data Science'],0.0
352,"['TensorFlow', 'Python', 'React', 'Data Analysis']",Electrical Engineering,"['TensorFlow', 'Kubernetes', 'React', 'CSS']","['Electrical Engineering', 'Computer Science', 'Data Science']",65.0
353,"['AWS', 'HTML', 'Python', 'Machine Learning']",Computer Science,"['Docker', 'HTML', 'Kubernetes', 'Python', 'React', 'AWS']","['Data Science', 'Mathematics']",35.0
354,"['Spring Boot', 'Docker', 'Kubernetes', 'C#']",AI/ML,"['AWS', 'C#', 'Spring Boot', 'HTML', 'React']","['Physics', 'Mathematics', 'Electrical Engineering']",28.0
355,"['Machine Learning', 'AWS']",Electrical Engineering,"['AWS', 'React', 'Docker', 'Machine Learning']","['Mathematics', 'Physics', 'AI/ML']",35.0
356,"['SQL', 'AWS', 'Spring Boot', 'C#', 'Docker']",AI/ML,"['CSS', 'Machine Learning', 'Python', 'AWS', 'HTML', 'Data Analysis']","['Mathematics', 'Physics', 'Mechanical Engineering']",11.67
357,"['Java', 'SQL', 'TensorFlow']",Electrical Engineering,"['TensorFlow', 'Java', 'Data Analysis', 'Spring Boot']","['AI/ML', 'Mechanical Engineering']",35.0
358,"['Spring Boot', 'TensorFlow', 'Kubernetes', 'HTML']",AI/ML,"['Kubernetes', 'Docker', 'CSS', 'Java', 'Machine Learning']","['Physics', 'Electrical Engineering']",14.0
359,"['HTML', 'SQL', 'TensorFlow', 'React']",Computer Science,"['Python', 'C#', 'TensorFlow', 'Machine Learning', 'Data Analysis', 'CSS']","['Data Science', 'Computer Science']",41.67
360,"['Machine Learning', 'CSS', 'TensorFlow', 'Kubernetes']",Computer Science,"['Spring Boot', 'React', 'AWS']",['Mechanical Engineering'],0.0
361,"['HTML', 'Spring Boot']",Computer Science,"['Machine Learning', 'Spring Boot', 'AWS']","['Mechanical Engineering', 'Data Science']",23.33
362,"['Kubernetes', 'Java', 'Machine Learning', 'React', 'Spring Boot']",Electrical Engineering,"['SQL', 'Data Analysis', 'CSS', 'React', 'Python']","['Mechanical Engineering', 'Physics', 'AI/ML']",14.0
363,"['Data Analysis', 'Java', 'CSS', 'TensorFlow']",Electrical Engineering,"['Python', 'Java', 'React', 'AWS', 'Machine Learning', 'Data Analysis']","['Mechanical Engineering', 'Data Science']",23.33
364,"['TensorFlow', 'Kubernetes', 'CSS', 'HTML', 'C#']",Electrical Engineering,"['Data Analysis', 'Docker', 'Machine Learning']",['Mathematics'],0.0
365,"['HTML', 'SQL']",Electrical Engineering,"['React', 'CSS', 'Kubernetes', 'TensorFlow', 'C#', 'Machine Learning']","['Software Engineering', 'Physics']",0.0
366,"['TensorFlow', 'Data Analysis', 'SQL', 'Docker', 'HTML']",Mechanical Engineering,"['Kubernetes', 'Docker', 'TensorFlow', 'React', 'Data Analysis', 'SQL']","['Software Engineering', 'Electrical Engineering', 'Computer Science']",46.67
367,"['HTML', 'SQL']",Mathematics,"['TensorFlow', 'C#', 'HTML']","['Physics', 'Data Science', 'Mathematics']",53.33
368,"['AWS', 'Python', 'Machine Learning', 'Docker']",AI/ML,"['Java', 'Machine Learning', 'Spring Boot', 'SQL']","['Software Engineering', 'Electrical Engineering']",17.5
369,"['Python', 'SQL', 'TensorFlow', 'Spring Boot', 'Kubernetes']",AI/ML,"['Kubernetes', 'Java', 'SQL', 'Docker']",['Mechanical Engineering'],35.0
370,"['Kubernetes', 'TensorFlow', 'AWS', 'Spring Boot', 'React']",Electrical Engineering,"['C#', 'Java', 'SQL', 'Data Analysis', 'TensorFlow', 'React']",['Mechanical Engineering'],23.33
371,"['HTML', 'SQL', 'Machine Learning', 'React']",Computer Science,"['Kubernetes', 'HTML', 'Data Analysis']","['Computer Science', 'Mechanical Engineering', 'Data Science']",53.33
372,"['Python', 'Spring Boot', 'Java', 'SQL', 'C#']",Computer Science,"['Spring Boot', 'Python', 'HTML', 'Machine Learning', 'Kubernetes']",['Mechanical Engineering'],28.0
373,"['TensorFlow', 'C#', 'Python']",Electrical Engineering,"['Spring Boot', 'AWS', 'Machine Learning', 'SQL', 'CSS', 'HTML']","['AI/ML', 'Mathematics', 'Electrical Engineering']",30.0
374,"['AWS', 'SQL', 'Python', 'React']",Mathematics,"['C#', 'Machine Learning', 'React']",['Electrical Engineering'],23.33
375,"['Java', 'AWS', 'HTML', 'Data Analysis', 'Docker']",Computer Science,"['React', 'HTML', 'SQL']",['Data Science'],23.33
376,"['Data Analysis', 'HTML', 'Machine Learning', 'Java']",Mathematics,"['HTML', 'CSS', 'AWS', 'SQL', 'Machine Learning']",['AI/ML'],28.0
377,"['Kubernetes', 'SQL', 'Docker', 'HTML', 'React']",Computer Science,"['Spring Boot', 'Docker', 'Java']",['Computer Science'],53.33
378,"['C#', 'SQL', 'Data Analysis', 'Kubernetes']",AI/ML,"['Docker', 'AWS', 'C#', 'Data Analysis']","['Electrical Engineering', 'Computer Science']",35.0
379,"['C#', 'HTML', 'Docker', 'AWS', 'React']",Computer Science,"['SQL', 'TensorFlow', 'CSS', 'AWS']","['Physics', 'Electrical Engineering']",17.5
380,"['C#', 'Python', 'SQL', 'Data Analysis', 'Docker']",Mathematics,"['AWS', 'C#', 'Kubernetes']",['Software Engineering'],23.33
381,"['TensorFlow', 'Machine Learning']",Computer Science,"['Spring Boot', 'Docker', 'CSS']","['Electrical Engineering', 'Mechanical Engineering']",0.0
382,"['Kubernetes', 'Python', 'C#']",Mathematics,"['TensorFlow', 'HTML', 'CSS', 'Kubernetes', 'AWS', 'Java']",['Mechanical Engineering'],11.67
383,"['CSS', 'HTML', 'SQL']",Software Engineering,"['C#', 'SQL', 'Docker', 'HTML']",['Electrical Engineering'],35.0
384,"['HTML', 'React', 'Kubernetes', 'Python', 'CSS']",Mechanical Engineering,"['Machine Learning', 'Kubernetes', 'CSS', 'Data Analysis', 'React', 'TensorFlow']","['Mathematics', 'Software Engineering', 'Computer Science']",35.0
385,"['Python', 'CSS', 'Data Analysis', 'Kubernetes']",AI/ML,"['Docker', 'Python', 'Spring Boot', 'CSS', 'React']",['AI/ML'],58.0
386,"['Data Analysis', 'Java', 'Machine Learning', 'React']",AI/ML,"['AWS', 'Data Analysis', 'Java', 'HTML', 'SQL', 'Docker']",['Electrical Engineering'],23.33
387,"['Java', 'Data Analysis', 'CSS', 'TensorFlow', 'AWS']",Software Engineering,"['Machine Learning', 'Java', 'Kubernetes']",['Data Science'],23.33
388,"['SQL', 'TensorFlow', 'Python', 'Docker', 'Kubernetes']",Electrical Engineering,"['Kubernetes', 'SQL', 'Java', 'Spring Boot', 'Python', 'AWS']","['Mechanical Engineering', 'Software Engineering', 'Electrical Engineering']",65.0
389,"['Data Analysis', 'Kubernetes', 'Python', 'C#', 'React']",AI/ML,"['Kubernetes', 'TensorFlow', 'Machine Learning', 'SQL', 'Python', 'C#']","['Mathematics', 'Computer Science', 'Software Engineering']",35.0
390,"['Java', 'Machine Learning', 'Kubernetes']",Software Engineering,"['HTML', 'TensorFlow', 'C#', 'Data Analysis']","['AI/ML', 'Computer Science', 'Software Engineering']",30.0
391,"['React', 'Spring Boot']",Mechanical Engineering,"['Data Analysis', 'Python', 'React', 'Java', 'Docker', 'Spring Boot']",['AI/ML'],23.33
392,"['Machine Learning', 'SQL']",AI/ML,"['AWS', 'Data Analysis', 'HTML', 'C#']","['AI/ML', 'Computer Science', 'Data Science']",30.0
393,"['Data Analysis', 'React', 'TensorFlow', 'CSS']",Mechanical Engineering,"['C#', 'TensorFlow', 'Machine Learning', 'CSS', 'Docker', 'Java']","['Software Engineering', 'Electrical Engineering']",23.33
394,"['SQL', 'Spring Boot', 'Java', 'Python']",Software Engineering,"['Kubernetes', 'React', 'Data Analysis', 'Python', 'Spring Boot']",['Physics'],28.0
395,"['Docker', 'HTML', 'Kubernetes', 'Java']",Data Science,"['Python', 'React', 'CSS', 'Machine Learning']","['Data Science', 'Software Engineering', 'Electrical Engineering']",30.0
396,"['Python', 'C#']",Computer Science,"['C#', 'CSS', 'HTML', 'TensorFlow', 'React']","['AI/ML', 'Physics']",14.0
397,"['CSS', 'Docker', 'C#', 'Java', 'Machine Learning']",Mathematics,"['CSS', 'React', 'Java', 'Spring Boot', 'Data Analysis']",['Physics'],28.0
398,"['HTML', 'SQL', 'AWS', 'Kubernetes', 'CSS']",Data Science,"['Kubernetes', 'Python', 'Data Analysis', 'TensorFlow']",['Physics'],17.5
399,"['SQL', 'Java']",Computer Science,"['Python', 'Docker', 'TensorFlow', 'Machine Learning']","['Computer Science', 'Physics', 'Software Engineering']",30.0
400,"['React', 'Spring Boot']",AI/ML,"['C#', 'TensorFlow', 'Machine Learning']","['Electrical Engineering', 'Mechanical Engineering', 'Software Engineering']",0.0
401,"['Machine Learning', 'Docker', 'SQL', 'C#']",AI/ML,"['Machine Learning', 'C#', 'Kubernetes', 'AWS', 'CSS']","['Software Engineering', 'Computer Science']",28.0
402,"['Python', 'Machine Learning', 'Data Analysis', 'AWS']",Computer Science,"['Docker', 'AWS', 'CSS', 'HTML']","['Electrical Engineering', 'Physics', 'Computer Science']",47.5
403,"['Machine Learning', 'Kubernetes', 'Data Analysis', 'Java', 'C#']",AI/ML,"['HTML', 'Data Analysis', 'Docker', 'Machine Learning', 'AWS', 'SQL']","['Electrical Engineering', 'Software Engineering']",23.33
404,"['SQL', 'CSS']",Computer Science,"['Data Analysis', 'CSS', 'Java', 'C#', 'HTML']","['AI/ML', 'Software Engineering']",14.0
405,"['Machine Learning', 'Spring Boot', 'Docker']",Mathematics,"['Spring Boot', 'HTML', 'AWS', 'Machine Learning', 'Java']","['Electrical Engineering', 'Mathematics', 'Data Science']",58.0
406,"['Python', 'Java']",Mechanical Engineering,"['Python', 'Docker', 'AWS', 'SQL', 'Spring Boot', 'CSS']","['Electrical Engineering', 'Computer Science']",11.67
407,"['React', 'Docker']",Mathematics,"['HTML', 'Kubernetes', 'React']",['Physics'],23.33
408,"['Java', 'C#', 'Python']",AI/ML,"['Docker', 'SQL', 'Kubernetes', 'Spring Boot', 'TensorFlow']",['Mechanical Engineering'],0.0
409,"['HTML', 'Spring Boot', 'TensorFlow', 'SQL', 'C#']",AI/ML,"['C#', 'Spring Boot', 'AWS', 'TensorFlow', 'React', 'SQL']","['Computer Science', 'Mathematics', 'Software Engineering']",46.67
410,"['Data Analysis', 'Machine Learning', 'CSS']",Data Science,"['C#', 'Python', 'Java', 'Data Analysis', 'SQL']",['AI/ML'],14.0
411,"['Kubernetes', 'AWS', 'Java']",AI/ML,"['CSS', 'Java', 'React', 'SQL', 'Python']","['Software Engineering', 'Mechanical Engineering']",14.0
412,"['Python', 'AWS', 'HTML']",AI/ML,"['Machine Learning', 'Java', 'CSS']","['Mechanical Engineering', 'Computer Science', 'Data Science']",0.0
413,"['TensorFlow', 'HTML', 'React']",Mathematics,"['Spring Boot', 'AWS', 'Java', 'CSS']","['Physics', 'AI/ML']",0.0
414,"['React', 'HTML', 'SQL']",Data Science,"['Spring Boot', 'HTML', 'AWS', 'Data Analysis', 'TensorFlow', 'CSS']",['Data Science'],41.67
415,"['C#', 'AWS']",Data Science,"['AWS', 'Data Analysis', 'Python', 'Java', 'C#', 'SQL']","['Mechanical Engineering', 'Software Engineering']",23.33
416,"['Spring Boot', 'Machine Learning', 'React']",AI/ML,"['React', 'HTML', 'Spring Boot']",['Computer Science'],46.67
417,"['Kubernetes', 'Spring Boot', 'Docker', 'AWS', 'React']",Computer Science,"['HTML', 'C#', 'Python', 'Machine Learning', 'Data Analysis']","['Software Engineering', 'Data Science']",0.0
418,"['React', 'AWS', 'Kubernetes']",Physics,"['Spring Boot', 'SQL', 'Machine Learning', 'CSS']","['Mechanical Engineering', 'Electrical Engineering', 'AI/ML']",0.0
419,"['Data Analysis', 'Python', 'Machine Learning', 'CSS']",Mathematics,"['Java', 'React', 'AWS']","['Data Science', 'Mechanical Engineering']",0.0
420,"['React', 'Machine Learning', 'Java']",Computer Science,"['Java', 'AWS', 'Kubernetes']","['Data Science', 'Software Engineering', 'Physics']",23.33
421,"['Spring Boot', 'AWS', 'Machine Learning']",Mathematics,"['Docker', 'Data Analysis', 'SQL', 'Machine Learning', 'CSS', 'AWS']","['Mechanical Engineering', 'Physics']",23.33
422,"['Data Analysis', 'C#', 'CSS', 'Machine Learning', 'Python']",AI/ML,"['HTML', 'AWS', 'Python', 'Spring Boot']","['Mechanical Engineering', 'AI/ML', 'Electrical Engineering']",47.5
423,"['React', 'Python', 'AWS', 'CSS']",Mathematics,"['CSS', 'Java', 'SQL']","['Mathematics', 'Electrical Engineering']",53.33
424,"['TensorFlow', 'Spring Boot', 'Data Analysis', 'Kubernetes']",Data Science,"['Spring Boot', 'Data Analysis', 'CSS', 'C#', 'SQL', 'HTML']","['AI/ML', 'Software Engineering']",23.33
425,"['HTML', 'Kubernetes', 'Java', 'CSS']",Data Science,"['AWS', 'Python', 'Java']","['AI/ML', 'Computer Science']",23.33
426,"['Docker', 'Machine Learning', 'AWS', 'React', 'Data Analysis']",AI/ML,"['Kubernetes', 'AWS', 'HTML', 'Python', 'Machine Learning']",['Software Engineering'],28.0
427,"['Java', 'Python', 'CSS']",Mechanical Engineering,"['Machine Learning', 'Java', 'Spring Boot']",['Electrical Engineering'],23.33
428,"['Spring Boot', 'Python', 'React', 'Docker', 'HTML']",Physics,"['TensorFlow', 'React', 'Docker', 'Kubernetes']",['Physics'],65.0
429,"['React', 'TensorFlow', 'Machine Learning', 'Kubernetes']",AI/ML,"['CSS', 'Machine Learning', 'C#', 'React', 'Java']","['Mathematics', 'Data Science']",28.0
430,"['HTML', 'Data Analysis']",Electrical Engineering,"['Java', 'Spring Boot', 'Machine Learning']","['Data Science', 'Electrical Engineering', 'Mathematics']",30.0
431,"['Docker', 'HTML']",Software Engineering,"['Machine Learning', 'TensorFlow', 'Docker', 'Python']","['AI/ML', 'Software Engineering', 'Electrical Engineering']",47.5
432,"['Spring Boot', 'TensorFlow']",Software Engineering,"['Machine Learning', 'Kubernetes', 'SQL', 'AWS']","['Physics', 'AI/ML', 'Mathematics']",0.0
433,"['Machine Learning', 'Spring Boot']",Software Engineering,"['HTML', 'TensorFlow', 'Machine Learning', 'Spring Boot', 'Kubernetes', 'React']","['Software Engineering', 'Electrical Engineering']",53.33
434,"['Kubernetes', 'Machine Learning']",Data Science,"['Spring Boot', 'CSS', 'AWS', 'C#', 'Java']","['Data Science', 'Software Engineering', 'Computer Science']",30.0
435,"['Python', 'SQL']",Electrical Engineering,"['React', 'AWS', 'Kubernetes']","['Software Engineering', 'AI/ML']",0.0
436,"['TensorFlow', 'React', 'Python']",Mechanical Engineering,"['TensorFlow', 'AWS', 'HTML', 'Data Analysis', 'Docker']","['AI/ML', 'Mechanical Engineering']",44.0
437,"['Java', 'Spring Boot', 'Data Analysis', 'Machine Learning', 'SQL']",Electrical Engineering,"['Data Analysis', 'Docker', 'React', 'Spring Boot', 'HTML']","['Physics', 'Electrical Engineering', 'Mathematics']",58.0
438,"['Machine Learning', 'Kubernetes']",Data Science,"['C#', 'TensorFlow', 'Kubernetes', 'React', 'SQL']",['Software Engineering'],14.0
439,"['Docker', 'Machine Learning', 'SQL']",Data Science,"['TensorFlow', 'AWS', 'React', 'SQL', 'Machine Learning']",['Physics'],28.0
440,"['Data Analysis', 'HTML', 'C#', 'Machine Learning']",AI/ML,"['C#', 'Data Analysis', 'SQL', 'Machine Learning']",['Data Science'],52.5
441,"['C#', 'Python', 'React', 'AWS', 'Data Analysis']",Physics,"['Machine Learning', 'React', 'Spring Boot']","['AI/ML', 'Electrical Engineering', 'Software Engineering']",23.33
442,"['Data Analysis', 'TensorFlow', 'CSS', 'Machine Learning']",Computer Science,"['Spring Boot', 'TensorFlow', 'C#', 'Data Analysis', 'Java', 'AWS']",['Data Science'],23.33
443,"['AWS', 'Python', 'Java']",Mathematics,"['C#', 'Docker', 'Machine Learning', 'Kubernetes', 'CSS', 'React']",['Software Engineering'],0.0
444,"['React', 'Machine Learning', 'Docker', 'CSS']",Mathematics,"['SQL', 'Java', 'Kubernetes', 'HTML']","['Data Science', 'Mathematics']",30.0
445,"['SQL', 'TensorFlow', 'C#']",Computer Science,"['React', 'Java', 'Data Analysis', 'Machine Learning', 'CSS']","['Electrical Engineering', 'Mechanical Engineering']",0.0
446,"['Docker', 'AWS', 'Java', 'C#', 'Data Analysis']",Physics,"['Spring Boot', 'Java', 'Kubernetes', 'HTML', 'AWS']","['Physics', 'Data Science']",58.0
447,"['Kubernetes', 'HTML', 'React', 'Spring Boot', 'Java']",Software Engineering,"['Data Analysis', 'CSS', 'Java']","['Software Engineering', 'Data Science', 'Electrical Engineering']",53.33
448,"['Data Analysis', 'React']",Software Engineering,"['Python', 'AWS', 'Docker', 'Machine Learning', 'HTML', 'React']",['AI/ML'],11.67
449,"['HTML', 'Machine Learning', 'Kubernetes', 'Docker']",AI/ML,"['Spring Boot', 'CSS', 'Docker']","['Electrical Engineering', 'AI/ML']",53.33
450,"['C#', 'AWS']",Physics,"['HTML', 'Java', 'Spring Boot', 'React']","['AI/ML', 'Data Science', 'Electrical Engineering']",0.0
451,"['Spring Boot', 'Kubernetes']",Software Engineering,"['SQL', 'React', 'Machine Learning', 'Data Analysis', 'Docker']","['Mathematics', 'Data Science']",0.0
452,"['AWS', 'Data Analysis', 'Machine Learning', 'C#', 'Kubernetes']",Mechanical Engineering,"['Java', 'HTML', 'SQL', 'CSS', 'AWS', 'Data Analysis']","['Data Science', 'Electrical Engineering', 'AI/ML']",23.33
453,"['Python', 'TensorFlow', 'SQL', 'Kubernetes', 'Docker']",Physics,"['Java', 'HTML', 'SQL', 'Python', 'Kubernetes']","['Mechanical Engineering', 'Software Engineering']",42.0
454,"['AWS', 'Kubernetes', 'Machine Learning']",Mathematics,"['HTML', 'Kubernetes', 'C#']",['Software Engineering'],23.33
455,"['Python', 'SQL', 'Machine Learning', 'Docker']",Computer Science,"['Java', 'CSS', 'AWS', 'Machine Learning', 'Data Analysis', 'Python']","['AI/ML', 'Data Science', 'Computer Science']",53.33
456,"['React', 'Machine Learning', 'HTML', 'SQL', 'AWS']",Electrical Engineering,"['Java', 'TensorFlow', 'Python']","['Electrical Engineering', 'Physics', 'Data Science']",30.0
457,"['Kubernetes', 'CSS', 'Java', 'Data Analysis', 'C#']",Mechanical Engineering,"['Spring Boot', 'SQL', 'Data Analysis', 'Kubernetes', 'React']","['Computer Science', 'Physics', 'Electrical Engineering']",28.0
458,"['SQL', 'React', 'Spring Boot', 'Java', 'HTML']",Electrical Engineering,"['CSS', 'Docker', 'C#']",['Data Science'],0.0
459,"['Spring Boot', 'HTML', 'AWS']",Physics,"['C#', 'React', 'TensorFlow']",['Software Engineering'],0.0
460,"['Spring Boot', 'Data Analysis']",Mathematics,"['Kubernetes', 'Docker', 'HTML', 'React', 'C#', 'Spring Boot']","['Mathematics', 'Physics']",41.67
461,"['CSS', 'Python']",Software Engineering,"['React', 'Spring Boot', 'Machine Learning']","['AI/ML', 'Mechanical Engineering']",0.0
462,"['C#', 'Data Analysis', 'Python', 'Docker']",Mathematics,"['Spring Boot', 'TensorFlow', 'Kubernetes', 'AWS']",['Mathematics'],30.0
463,"['Docker', 'TensorFlow', 'Python', 'CSS']",Physics,"['AWS', 'C#', 'Docker', 'Python', 'Data Analysis']","['Mechanical Engineering', 'Electrical Engineering']",28.0
464,"['TensorFlow', 'Kubernetes', 'AWS']",Data Science,"['Python', 'HTML', 'Data Analysis', 'Docker']","['Computer Science', 'Electrical Engineering', 'Physics']",0.0
465,"['Data Analysis', 'C#', 'HTML', 'TensorFlow']",Computer Science,"['Docker', 'CSS', 'Kubernetes', 'HTML']","['Mechanical Engineering', 'Mathematics', 'Software Engineering']",17.5
466,"['Kubernetes', 'Machine Learning', 'SQL', 'TensorFlow']",Computer Science,"['Machine Learning', 'Docker', 'SQL']",['AI/ML'],46.67
467,"['Machine Learning', 'Kubernetes']",Software Engineering,"['Machine Learning', 'TensorFlow', 'React', 'CSS', 'Java', 'C#']",['Mathematics'],11.67
468,"['SQL', 'React', 'HTML']",Data Science,"['TensorFlow', 'HTML', 'Data Analysis', 'Machine Learning']","['AI/ML', 'Mechanical Engineering', 'Electrical Engineering']",17.5
469,"['Data Analysis', 'HTML', 'React', 'Java']",Mechanical Engineering,"['React', 'C#', 'HTML', 'Spring Boot', 'AWS', 'Python']","['Electrical Engineering', 'Mechanical Engineering', 'Data Science']",53.33
470,"['Machine Learning', 'SQL', 'HTML']",Electrical Engineering,"['Java', 'React', 'Docker', 'Spring Boot']","['AI/ML', 'Physics', 'Mathematics']",0.0
471,"['SQL', 'Java', 'Spring Boot', 'Kubernetes', 'CSS']",Computer Science,"['Python', 'C#', 'React']","['Computer Science', 'Software Engineering']",30.0
472,"['C#', 'Kubernetes', 'Spring Boot', 'Python']",Software Engineering,"['HTML', 'Spring Boot', 'SQL', 'CSS']","['AI/ML', 'Software Engineering']",47.5
473,"['Data Analysis', 'SQL', 'Machine Learning', 'Docker']",Physics,"['Python', 'Kubernetes', 'AWS', 'TensorFlow', 'Spring Boot', 'CSS']","['Physics', 'Mechanical Engineering']",30.0
474,"['Python', 'Java', 'HTML']",Data Science,"['Docker', 'Data Analysis', 'C#', 'React', 'SQL']",['Data Science'],30.0
475,"['Kubernetes', 'Python']",AI/ML,"['Data Analysis', 'React', 'Java', 'HTML']",['Mathematics'],0.0
476,"['CSS', 'Machine Learning', 'Java']",Computer Science,"['React', 'C#', 'SQL']","['Mechanical Engineering', 'Physics']",0.0
477,"['Java', 'Kubernetes', 'Spring Boot']",Data Science,"['Spring Boot', 'Java', 'CSS', 'TensorFlow', 'AWS']","['Computer Science', 'Electrical Engineering', 'Mechanical Engineering']",28.0
478,"['Kubernetes', 'CSS', 'Data Analysis', 'TensorFlow']",Mathematics,"['CSS', 'React', 'Kubernetes', 'Java', 'Python']","['Computer Science', 'Mechanical Engineering', 'Mathematics']",58.0
479,"['React', 'CSS', 'C#', 'Java', 'Python']",Computer Science,"['React', 'SQL', 'Spring Boot']",['Mechanical Engineering'],23.33
480,"['Kubernetes', 'Docker']",Data Science,"['TensorFlow', 'Spring Boot', 'Kubernetes']","['Software Engineering', 'Data Science']",53.33
481,"['Java', 'Data Analysis']",Mechanical Engineering,"['Machine Learning', 'CSS', 'Docker', 'AWS']","['Computer Science', 'Data Science', 'Software Engineering']",0.0
482,"['Data Analysis', 'CSS', 'React', 'Machine Learning']",Mechanical Engineering,"['HTML', 'Kubernetes', 'Machine Learning', 'React']","['Software Engineering', 'Physics']",35.0
483,"['SQL', 'HTML']",Computer Science,"['Kubernetes', 'C#', 'TensorFlow', 'CSS', 'HTML']",['Mechanical Engineering'],14.0
484,"['Spring Boot', 'Java', 'CSS']",Mechanical Engineering,"['C#', 'Spring Boot', 'SQL', 'Kubernetes']","['Data Science', 'AI/ML']",17.5
485,"['Machine Learning', 'Java', 'HTML', 'Data Analysis']",Software Engineering,"['TensorFlow', 'Kubernetes', 'AWS']","['Data Science', 'Mechanical Engineering', 'Computer Science']",0.0
